id,username,comment,num_of_likes,published_at
9YFbtgNsSeA,@Eeebusyeettdah2024,Kalo memang ini terbukti benar... Gilaabener,0,2025-02-26T01:37:02Z
9YFbtgNsSeA,@slametpurnawan7319,"Dasar turunan iblis....,pantas aj ngurusi melon belasan tahun gak kelar2 ternyta sibuk maling duit rakyat",0,2025-02-26T01:37:08Z
9YFbtgNsSeA,@nopadinopadi5742,"Tersangka dan akhirnya divonis 3,5 th aset sita, setelah itu dikempesi, jongkok tembak kepala.  193 T Rp.  dibelikan kerupuk dpt 16 lapangan sepak bola ….! Tapi kejaksaan biasanya penyelesaian kasusnya kurang tajam, hanya kroco yg ditangkap …. master mind nya dha dha dha ….! Pengawasnya DPR BPK IRJEN Kemen BUMN tidur nyenyak ngorok …. ! Pertamina menghormati kasus, atau ikut bersama-sama …!",0,2025-02-26T01:37:09Z
9YFbtgNsSeA,@sitimarifatulislamiyah3984,Klo indonesia mau bersih dari korupsi...tegakan hukuman mati  tebas leher nya di tempat..,0,2025-02-26T01:37:17Z
9YFbtgNsSeA,@UmarSantori,"Mantap buat KPK mari miskin kan koruptor tanpa pandang bulu, karena mereka rakyat jadi sengsara,rampas kekayaan mereka.",0,2025-02-26T01:37:17Z
9YFbtgNsSeA,@Aruburamu_Diasuvuira,Dasar anak batak balik sana ke israel 😡,0,2025-02-26T01:37:49Z
9YFbtgNsSeA,@komangsindhu-j1f,Terus 2023-sekarang berarti pertamax asli?,0,2025-02-26T01:30:32Z
9YFbtgNsSeA,@RNGchannel30,Makin kacau ajah nih negara 😢,0,2025-02-26T01:30:49Z
9YFbtgNsSeA,@yudisudrajat6861,Ganteng2 manusia RAKUS ini pakai seragam yang sama,0,2025-02-26T01:31:34Z
9YFbtgNsSeA,@putrasayurjember5135,Pertanyaan nya... Apakah para MALING uang NEGARA itu sudah tidak ada Malunya,0,2025-02-26T01:33:48Z
9YFbtgNsSeA,@almariasiagian1832,Pertalite langka😮😮OMG PDHAL DIOPLOS JD PERTAMAX... RAKYAT MAKIN SULIT PAKDE... RAMPAS SELURUH HARTANYA MISKINKAN,0,2025-02-26T01:34:14Z
9YFbtgNsSeA,@baytv5108,inikah negeri yg ku ?,0,2025-02-26T01:34:29Z
9YFbtgNsSeA,@alimurtado2980,"Kolo korupsi sudah triliunan ini bahaya buat negara ,, jadi menurut sy sudah waktunya pemerintah membuat uu hukuman mati  .",0,2025-02-26T01:34:37Z
9YFbtgNsSeA,@miskanmiskan2224,"Pokoknya yg ada kaitannya dg import.... cek aj di kementrian terkait... sdh bs diduga akn ada kongkalikong dan Mark-up utk dpt rente dr pengusaha...
Contoh kasus Gula, Beras, Daging, Susu, Garam, Mesin Garuda, Alutsista TNI/Polri, Emas Antam, Minyak Pertamina, dlsb...",0,2025-02-26T01:35:16Z
9YFbtgNsSeA,@tediBahtiar-k5n,Sudah rahasia umum semua sub holding department pejabat ada mafia bawah atas masing-masing UswaUhasanah,0,2025-02-26T01:35:16Z
9YFbtgNsSeA,@cenel-dw9ld,Para Binatang Hama,0,2025-02-26T01:35:17Z
9YFbtgNsSeA,@natanchannel1127,Bangke,0,2025-02-26T01:35:30Z
9YFbtgNsSeA,@cinelliestrada3228,Bisa terjadi 5 tahun (2018-2023) menandakan bobroknya 99% pejabat. Dimanapun perusahaan wajib diaudit minimal setahun sekali. Ini auditornya ikut bermain.,0,2025-02-26T01:35:34Z
9YFbtgNsSeA,@SangJuara77,Hukum mati Semuanya pejabat yang Ndak punya hati ini. Saya sendiri makan saja irit irit supaya bisa menyambung hidup. Ada lagi yang di Pati kemarin sampai curi pisang hanya ingin buat makan.,0,2025-02-26T01:35:53Z
9YFbtgNsSeA,@MIrfan-pz6fw,Kekayaan negara ini hancur oleh PARA OKNUM.YG TIDAK BERTANGGUNG JAWAB,0,2025-02-26T01:35:56Z
9YFbtgNsSeA,@sitimarifatulislamiyah3984,Indonesia korupsi mulu..biadab,0,2025-02-26T01:35:57Z
9YFbtgNsSeA,@DeniAzalea-rw6ln,Ayoo class action,0,2025-02-26T01:36:05Z
9YFbtgNsSeA,@pudyastuti5362,Wajah2 mreka betul2.wajah kriminal😮😮,0,2025-02-26T01:25:32Z
9YFbtgNsSeA,@gunawantea9104,Sahkan Perampasan aset sama Hukuman Mati bagi koruptor.😂,0,2025-02-26T01:25:35Z
9YFbtgNsSeA,@Galang-x2j,Di semua sektor di korupsi... Apa jadi indonesia ini. Kacau kacau...,0,2025-02-26T01:25:51Z
9YFbtgNsSeA,@mozarta7736,Mana sri mul? Tuh penyebab pertamina yg kata lu minus terus.. mau lu apain mereka sekarang?,0,2025-02-26T01:26:00Z
